ID,GAME,YEAR,DEVELOPER,PUBLISHER,GENRE
191,Paperboy 64,1999,High Voltage Software,Midway,Arcade | Action
192,Penny Racers,1999,Takara,THQ,Racing | Automobile
193,Perfect Dark,2000,Rare,Rare,Action | First-Person Shooter
194,PGA European Tour,2000,Infogrames Sheffield House,Infogrames,Sports | Golf
195,Pilotwings 64,1996,Paradigm Entertainment / Nintendo,Nintendo,Simulation | Flight
196,Pokémon Puzzle League,2000,Nintendo Software Technology,Nintendo,Arcade | Action | Puzzle
197,Pokémon Snap,1999,HAL Laboratory,Nintendo,Shooter | Rail | Photography
198,Pokémon Stadium,1999,Nintendo,Nintendo,Battle | Strategy | Training
199,Pokémon Stadium 2,2000,Nintendo,Nintendo,Battle | Strategy | Training
200,Polaris SnoCross,2000,Vicarious Visions,Vatical Entertainment,Simulation | Snowmobile Racing
201,Power Rangers Lightspeed Rescue,2000,Mass Media,THQ,Action | Adventure
202,PowerpThe Powerpuff Girls: Chemical X-traction,2001,VIS Interactive,BAM! Entertainment,Arcade | Fighting
204,Quake 64,1998,Midway,Midway,Action | First-Person Shooter
205,Quake II,1999,Raster Productions,Activision,Action | First-Person Shooter
206,Quest 64,1998,Imagineer,ImagineerTHQKonami,Adventure | Role Playing
207,Rainbow Six,1999,Saffire Corporation,Red Storm Entertainment,Action | First-Person Shooter
209,Rally Challenge 2000,1999,Genki,Imagineer | SouthPeak Games,Racing | Off Road
210,Rampage 2: Universal Tour,1999,Avalanche Software,Midway,Arcade | Action | Side scrolling
211,Rampage World Tour,1998,Saffire Corporation,Midway,Arcade | Action | Side scrolling
212,Rat Attack!,2000,Pure Entertainment,Mindscape,Arcade | Action | Puzzle
213,Rayman 2: The Great Escape,1999,Ubi Soft,Ubi Soft,Adventure | 3D Platformer
214,Razor Freestyle Scooter,2001,Titanium Studios,Crave Entertainment,Sports | Stunts | Scooter
215,Re-Volt,1999,Acclaim Studios London,Acclaim Entertainment,Remote Control Racing
216,Ready 2 Rumble Boxing,1999,Point of View,Midway,Sports | Boxing
217,Ready 2 Rumble Boxing: Round 2,2000,Point of View,Midway,Sports | Boxing
218,Resident Evil 2,1999,Angel Studios,Capcom | Virgin Interactive (EU) | Nintendo Australia (AU),Action | Adventure | 3D shooter
