"COMMAND","TEXT","AUTHOR","CREATED",
"!capitalism","FARMER'S WHEAT :Sp0ck1Bread:  MILLER'S FLOUR :Sp0ck1Bread:  BAKER'S OVEN :Sp0ck1Bread:  CONSUMERS' MONEY :Sp0ck1Bread:  FREE CAPITALISM :Sp0ck1Bread:","doctortimewarp",2021-02-23 01:30:08.204276000,
"boatrace","02:09:857","sp0ck1",2021-02-24 22:27:08.423047000,
"starcuptime","9:15:834","sp0ck1",2021-02-24 23:07:47.000715000,
"hltb pokemon","You could probably beat Pokémon Puzzle League in 12 minutes, sg4e. I know you're a gamer!","sg4e",2021-03-02 10:46:10.981028000,
"utf8mb4","This sure is UTF-8 alright","spock",2020-12-23 15:04:00.029769000,
"daro7","https://media.discordapp.net/attachments/596250466464170006/799919293126803467/unknown.png","spock",2021-01-18 00:07:43.306617000,
"mm1","FUZE, 4 coins","sp0ck1",2021-01-18 06:42:19.287836000,
"link","I'm Link (he/him) A Hylian hero with a sleep schedule that doesn't exist. I'm in a lot of video games and I'm a big sports fan (mainly horseback riding and archery). I'm mostly known around here for saving the kingdom of Hyrule and having a fairy named Navi but I have mostly stopped doing that over the last year.","sp0ck1",2021-02-10 23:05:02.614690000,
"testingtest","This IS a test","sanevin",2021-02-10 23:23:10.671503000,
"princest1","Blessed be the Prince Street. Beseech thou not the theme park Pizza, but to all may Pizza be given. Should any man doth desire the holy Dough, lo may he behold in his arms the glorious Pie. Let not ye hungering wastrel wander in the wastes, allow him to come into your domain and thus be greeted with the Holy Vessel. Indeed, shoulds't thou wander in the wastes and come upon a bazaar with profane Pizza, ask ye not why the Prince Street hast forsaken thee.","sp0ck1",2021-02-13 05:36:29.589160000,
"cave","Is this a cave?","daro16",2021-03-13 01:55:39.018480000,
"thisisfrom","https://media.discordapp.net/attachments/596250466464170006/822285444065525850/unknown.png","spock",2021-03-19 01:49:10.550905000,
"racetime","https://racetime.gg/dkc/disco-yoshi-4149","sp0ck1",2021-03-20 17:35:06.968272000,
